ano_mes_hospt,qtd_anomes_hospt
2008-09,2
2008-10,16
2008-11,119
2008-12,207
2009-01,342
2009-02,332
2009-03,399
2009-04,345
2009-05,428
2009-06,400
2009-07,407
2009-08,410
2009-09,411
2009-10,411
2009-11,417
2009-12,404
2010-01,406
2010-02,313
2010-03,357
2010-04,367
2010-05,391
2010-06,395
2010-07,415
2010-08,431
2010-09,392
2010-10,419
2010-11,401
2010-12,386
2011-01,358
2011-02,356
2011-03,309
2011-04,288
2011-05,306
2011-06,351
2011-07,366
2011-08,390
2011-09,381
2011-10,391
2011-11,363
2011-12,398
2012-01,389
2012-02,342
2012-03,365
2012-04,316
2012-05,335
2012-06,356
2012-07,313
2012-08,373
2012-09,322
2012-10,376
2012-11,337
2012-12,312
2013-01,347
2013-02,323
2013-03,367
2013-04,374
2013-05,363
2013-06,340
2013-07,356
2013-08,320
2013-09,337
2013-10,335
2013-11,338
2013-12,338
2014-01,353
2014-02,324
2014-03,352
2014-04,367
2014-05,353
2014-06,370
2014-07,365
2014-08,353
2014-09,347
2014-10,415
2014-11,373
2014-12,361
2015-01,321
2015-02,343
2015-03,389
2015-04,293
2015-05,353
2015-06,370
2015-07,370
2015-08,350
2015-09,352
2015-10,339
2015-11,296
2015-12,311
2016-01,281
2016-02,266
2016-03,283
2016-04,295
2016-05,292
2016-06,281
2016-07,298
2016-08,310
2016-09,330
2016-10,322
2016-11,308
2016-12,324
2017-01,317
2017-02,287
2017-03,328
2017-04,334
2017-05,344
2017-06,335
2017-07,370
2017-08,371
2017-09,370
2017-10,383
2017-11,341
2017-12,368
2018-01,349
2018-02,332
2018-03,342
2018-04,333
2018-05,337
2018-06,382
2018-07,381
2018-08,377
2018-09,391
2018-10,427
2018-11,383
2018-12,398
2019-01,376
2019-02,375
2019-03,403
2019-04,379
2019-05,399
2019-06,392
2019-07,445
2019-08,433
2019-09,397
2019-10,487
2019-11,388
2019-12,257
2020-01,175
2020-02,37
