ano_mes_obitos,qtd_anomes_obitos
2009-01,7
2009-02,4
2009-03,6
2009-04,8
2009-05,17
2009-06,11
2009-07,9
2009-08,8
2009-09,8
2009-10,9
2009-11,14
2009-12,8
2010-01,7
2010-02,8
2010-03,11
2010-04,7
2010-05,9
2010-06,8
2010-07,13
2010-08,13
2010-09,11
2010-10,14
2010-11,11
2010-12,4
2011-01,3
2011-02,7
2011-03,10
2011-04,12
2011-05,11
2011-06,5
2011-07,10
2011-08,8
2011-09,13
2011-10,9
2011-11,10
2011-12,4
2012-01,7
2012-02,8
2012-03,8
2012-04,6
2012-05,10
2012-06,3
2012-07,13
2012-08,10
2012-09,12
2012-10,5
2012-11,5
2012-12,12
2013-01,10
2013-02,7
2013-03,13
2013-04,9
2013-05,4
2013-06,9
2013-07,9
2013-08,7
2013-09,6
2013-10,9
2013-11,3
2013-12,10
2014-01,7
2014-02,6
2014-03,4
2014-04,7
2014-05,13
2014-06,8
2014-07,8
2014-08,8
2014-09,9
2014-10,5
2014-11,8
2014-12,6
2015-01,12
2015-02,8
2015-03,8
2015-04,16
2015-05,8
2015-06,4
2015-07,11
2015-08,11
2015-09,14
2015-10,16
2015-11,10
2015-12,11
2016-01,16
2016-02,13
2016-03,6
2016-04,5
2016-05,13
2016-06,16
2016-07,13
2016-08,12
2016-09,10
2016-10,5
2016-11,6
2016-12,11
2017-01,7
2017-02,8
2017-03,11
2017-04,8
2017-05,9
2017-06,10
2017-07,6
2017-08,10
2017-09,8
2017-10,8
2017-11,8
2017-12,10
2018-01,5
2018-02,8
2018-03,8
2018-04,9
2018-05,12
2018-06,15
2018-07,7
2018-08,14
2018-09,11
2018-10,7
2018-11,13
2018-12,12
2019-01,12
2019-02,7
2019-03,14
2019-04,9
2019-05,11
2019-06,15
2019-07,12
2019-08,13
2019-09,10
2019-10,11
2019-11,10
2019-12,5
